"X","weight","mpg","type"
1,2560,33,"Small"
2,2345,33,"Small"
3,1845,37,"Small"
4,2260,32,"Small"
5,2440,32,"Small"
6,2285,26,"Small"
7,2275,33,"Small"
8,2350,28,"Small"
9,2295,25,"Small"
10,1900,34,"Small"
11,2390,29,"Small"
12,2075,35,"Small"
13,2330,26,"Small"
14,3320,20,"Sporty"
15,2885,27,"Sporty"
16,3310,19,"Sporty"
17,2695,30,"Sporty"
18,2170,33,"Sporty"
19,2710,27,"Sporty"
20,2775,24,"Sporty"
21,2840,26,"Sporty"
22,2485,28,"Sporty"
23,2670,27,"Compact"
24,2640,23,"Compact"
25,2655,26,"Compact"
26,3065,25,"Compact"
27,2750,24,"Compact"
28,2920,26,"Compact"
29,2780,24,"Compact"
30,2745,25,"Compact"
31,3110,21,"Compact"
32,2920,21,"Compact"
33,2645,23,"Compact"
34,2575,24,"Compact"
35,2935,23,"Compact"
36,2920,27,"Compact"
37,2985,23,"Compact"
38,3265,20,"Medium"
39,2880,21,"Medium"
40,2975,22,"Medium"
41,3450,22,"Medium"
42,3145,22,"Medium"
43,3190,22,"Medium"
44,3610,23,"Medium"
45,2885,23,"Medium"
46,3480,21,"Medium"
47,3200,22,"Medium"
48,2765,21,"Medium"
49,3220,21,"Medium"
50,3480,23,"Medium"
51,3325,23,"Large"
52,3855,18,"Large"
53,3850,20,"Large"
54,3195,18,"Van"
55,3735,18,"Van"
56,3665,18,"Van"
57,3735,19,"Van"
58,3415,20,"Van"
59,3185,20,"Van"
60,3690,19,"Van"
