Quarter;Quarterly electricity production in Australia: million kilowatt hours. Mar 1956 ? Sep 1994
1956Q1;3923
1956Q2;4436
1956Q3;4806
1956Q4;4418
1957Q1;4339
1957Q2;4811
1957Q3;5259
1957Q4;4735
1958Q1;4608
1958Q2;5196
1958Q3;5616
1958Q4;4977
1959Q1;4883
1959Q2;5744
1959Q3;6035
1959Q4;5514
1960Q1;5387
1960Q2;6211
1960Q3;6659
1960Q4;5983
1961Q1;5709
1961Q2;6458
1961Q3;6875
1961Q4;6162
1962Q1;6098
1962Q2;7075
1962Q3;7595
1962Q4;6882
1963Q1;6707
1963Q2;7874
1963Q3;8555
1963Q4;7503
1964Q1;7469
1964Q2;8829
1964Q3;9513
1964Q4;8415
1965Q1;8270
1965Q2;9503
1965Q3;10306
1965Q4;9077
1966Q1;8650
1966Q2;10180
1966Q3;11234
1966Q4;9836
1967Q1;9489
1967Q2;10991
1967Q3;12170
1967Q4;10470
1968Q1;10089
1968Q2;11858
1968Q3;13198
1968Q4;11413
1969Q1;11136
1969Q2;13040
1969Q3;14248
1969Q4;12762
1970Q1;12328
1970Q2;14493
1970Q3;15661
1970Q4;13781
1971Q1;13299
1971Q2;15230
1971Q3;16667
1971Q4;14484
1972Q1;13838
1972Q2;15919
1972Q3;17149
1972Q4;15564
1973Q1;15024
1973Q2;17064
1973Q3;18512
1973Q4;16467
1974Q1;16249
1974Q2;18515
1974Q3;20377
1974Q4;17681
1975Q1;16692
1975Q2;19184
1975Q3;20078
1975Q4;18260
1976Q1;18023
1976Q2;20234
1976Q3;22272
1976Q4;19684
1977Q1;19031
1977Q2;21545
1977Q3;23270
1977Q4;20107
1978Q1;20084
1978Q2;22634
1978Q3;24494
1978Q4;21396
1979Q1;21323
1979Q2;23644
1979Q3;25994
1979Q4;22802
1980Q1;22604
1980Q2;24510
1980Q3;26690
1980Q4;24132
1981Q1;23639
1981Q2;26320
1981Q3;28345
1981Q4;24890
1982Q1;24675
1982Q2;27122
1982Q3;28590
1982Q4;25371
1983Q1;24687
1983Q2;27285
1983Q3;29290
1983Q4;26684
1984Q1;26641
1984Q2;29042
1984Q3;31876
1984Q4;28357
1985Q1;28114
1985Q2;30843
1985Q3;33175
1985Q4;29658
1986Q1;29518
1986Q2;32017
1986Q3;34390
1986Q4;31065
1987Q1;31039
1987Q2;33712
1987Q3;35850
1987Q4;33111
1988Q1;33140
1988Q2;34664
1988Q3;37170
1988Q4;35352
1989Q1;34948
1989Q2;37382
1989Q3;40171
1989Q4;36561
1990Q1;37006
1990Q2;39217
1990Q3;41205
1990Q4;37856
1991Q1;37713
1991Q2;38944
1991Q3;41238
1991Q4;37800
1992Q1;38024
1992Q2;39466
1992Q3;41934
1992Q4;38185
1993Q1;38930
1993Q2;40822
1993Q3;42198
1993Q4;40222
1994Q1;39177
1994Q2;40215
1994Q3;42855
